,Posizione,Interprete,Canzone,Anno,Autori,Posizione_numerica,Stato,Artista_spotify,Popolarità,Anno_ultimo_rilascio,Presentatore,Sede,Partecipanti,,,
36,NF,Gino Latilla,Malinconica tarantella,1952,G. C. Testoni e E. Ceragioli,,Non Finalista,Claudio Villa,0,2022,Nunzio Filogamo,Casinò di Sanremo,5,,,
37,NF,Nilla Pizzi,Ninna nanna ai sogni perduti,1952,"P. E. Bassi, M. Panzeri e G. C. Testoni",,Non Finalista,Acqua Curativa,0,2017,Nunzio Filogamo,Casinò di Sanremo,5,,,
38,NF,Gino Latilla,Pura fantasia,1952,Aminta e A. Fragna,,Non Finalista,Julieta Venegas,33,2022,Nunzio Filogamo,Casinò di Sanremo,5,,,
39,NF,Duo Fasano,Vecchio tram,1952,G. L. Callegari,,Non Finalista,Trattoria Italiana,42,2022,Nunzio Filogamo,Casinò di Sanremo,5,,,
40,1º,Carla Boni - Flo Sandon's,Viale d'autunno,1953,G. D'Anzi,1,Vincitore,,,,Nunzio Filogamo,Casinò di Sanremo,10,,,
41,2º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Campanaro,1953,B. Cherubini e C. Concina,2,Finalista,Nilla Pizzi,4,2011,Nunzio Filogamo,Casinò di Sanremo,10,,,
42,3º (ex aequo),Achille Togliani - Teddy Reno,Lasciami cantare una canzone,1953,M. Cozzoli e C. A. Bixio,3,Finalista,Achille Togliani,20,2012,Nunzio Filogamo,Casinò di Sanremo,10,,,
43,3º (ex aequo),Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,Vecchio scarpone,1953,"Calibi, Pinchi e C. Donida",3,Finalista,I Girasoli,26,2011,Nunzio Filogamo,Casinò di Sanremo,10,,,
44,5º,Gino Latilla - Giorgio Consolini,Vecchia villa comunale,1953,R. Ruocco e N. Oliviero,5,Finalista,Gino Latilla,0,2015,Nunzio Filogamo,Casinò di Sanremo,10,,,
45,6º,Achille Togliani - Katyna Ranieri,No Pierrot,1953,A. Costanzo e R. Salani,6,Finalista,Aurelio Fierro,0,2009,Nunzio Filogamo,Casinò di Sanremo,10,,,
46,7º,Carla Boni - Quartetto Stars,Il passerotto,1953,E. Di Lazzaro e D. Valentini,7,Finalista,Ciansunier,3,2017,Nunzio Filogamo,Casinò di Sanremo,10,,,
47,8º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Sussurrando buonanotte,1953,"Danpa, B. Pallesi e V. Panzuti",8,Finalista,Nilla Pizzi,0,2020,Nunzio Filogamo,Casinò di Sanremo,10,,,
48,9º,Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,Tamburino del reggimento,1953,Deani,9,Finalista,Luciano Taioli,3,2017,Nunzio Filogamo,Casinò di Sanremo,10,,,
49,10º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Papà Pacifico,1953,N. Rastelli e A. Fragna,10,Finalista,Nilla Pizzi,0,2011,Nunzio Filogamo,Casinò di Sanremo,10,,,
50,NF,Carla Boni - Katyna Ranieri,Acque amare,1953,N. Salerno e C. A. Rossi,,Non Finalista,Carla Boni,20,2014,Nunzio Filogamo,Casinò di Sanremo,10,,,
51,NF,Carla Boni - Flo Sandon's,Buona sera,1953,M. Evangelisti Tumminelli e C. Di Ceglie,,Non Finalista,Fred Buscaglione,46,1987,Nunzio Filogamo,Casinò di Sanremo,10,,,
52,NF,Nilla Pizzi - Teddy Reno,Canto della solitudine,1953,E. Bonagura e G. Redi,,Non Finalista,Federico Del Frate,0,2024,Nunzio Filogamo,Casinò di Sanremo,10,,,
53,NF,Katyna Ranieri - Achille Togliani,Domandatelo,1953,V. Baselice e G. Fiorelli,,Non Finalista,Giacomo Puccini,3,1964,Nunzio Filogamo,Casinò di Sanremo,10,,,
54,NF,Gino Latilla - Teddy Reno,Innamorami,1953,"M. Ruccione, E. Ceragioli e U. Bertini",,Non Finalista,Lady Paradise,0,2022,Nunzio Filogamo,Casinò di Sanremo,10,,,
55,NF,Achille Togliani - Giorgio Consolini,La mamma che piange di più,1953,G. Pisano e F. Rendine,,Non Finalista,Giorgio Consolini,0,2012,Nunzio Filogamo,Casinò di Sanremo,10,,,
56,NF,Achille Togliani - Katyna Ranieri,La pianola stonata,1953,M. Gigante e E. De Mura,,Non Finalista,Achille Togliani,0,2012,Nunzio Filogamo,Casinò di Sanremo,10,,,
57,NF,Nilla Pizzi - Flo Sandon's,L'altra,1953,V. Mascheroni e Biri,,Non Finalista,Måneskin,67,2018,Nunzio Filogamo,Casinò di Sanremo,10,,,
58,NF,Gino Latilla - Giorgio Consolini,Povero amico mio,1953,M. Rivi e C. Innocenzi,,Non Finalista,Carlo Buti,2,1935,Nunzio Filogamo,Casinò di Sanremo,10,,,
59,NF,Carla Boni - Flo Sandon's,Qualcuno cammina,1953,N. Rastelli e N. Casiroli,,Non Finalista,Rosita Brucoli,2,2023,Nunzio Filogamo,Casinò di Sanremo,10,,,
60,1º,Giorgio Consolini - Gino Latilla,Tutte le mamme,1954,U. Bertini e E. Falcocchio,1,Vincitore,,,,Nunzio Filogamo,Casinò di Sanremo,12,,,
61,2º,Katyna Ranieri - Achille Togliani,Canzone da due soldi,1954,Pinchi e C. Donida,2,Finalista,Nilla Pizzi,19,2011,Nunzio Filogamo,Casinò di Sanremo,12,,,
62,3º,Gino Latilla - Franco Ricci,...e la barca tornò sola,1954,M. Ruccione,3,Finalista,Renato Carosone,20,1995,Nunzio Filogamo,Casinò di Sanremo,12,,,
63,4º,Natalino Otto - Vittoria Mongardi,Notturno (Per chi non ha nessuno),1954,F. S. Mangieri,4,Finalista,Vittoria Mongardi,0,2013,Nunzio Filogamo,Casinò di Sanremo,12,,,
64,5º,Flo Sandon's - Carla Boni,Non è mai troppo tardi,1954,D. Olivieri,5,Finalista,Federico Rossi,52,2021,Nunzio Filogamo,Casinò di Sanremo,12,,,
65,6º,Quartetto Cetra - Vittoria Mongardi e Duo Fasano,Aveva un bavero,1954,M. Panzeri e V. Ripa,6,Finalista,Quartetto Cetra,14,2014,Nunzio Filogamo,Casinò di Sanremo,12,,,
66,7º,Gino Latilla e Duo Fasano - Katyna Ranieri e Giorgio Consolini,Sotto l'ombrello,1954,N. Casiroli,7,Finalista,Matteo Tarantino,2,2008,Nunzio Filogamo,Casinò di Sanremo,12,,,
67,8º,Achille Togliani - Natalino Otto,Mogliettina,1954,S. Seracini,8,Finalista,Renzo Arbore,25,2009,Nunzio Filogamo,Casinò di Sanremo,12,,,
68,9º,Achille Togliani - Flo Sandon's e Natalino Otto,Con te,1954,A. De Curtis,9,Finalista,Andrea Bocelli,50,1995,Nunzio Filogamo,Casinò di Sanremo,12,,,
69,10º,Achille Togliani - Natalino Otto,Donnina sola,1954,"S. Simoni, A. Valleroni e M. Casini",10,Finalista,Mia Martini,25,1972,Nunzio Filogamo,Casinò di Sanremo,12,,,
70,NF,Vittoria Mongardi - Flo Sandon's,Angeli senza cielo,1954,Pinchi e E. Valladi,,Non Finalista,Flo Sandon's,7,1947,Nunzio Filogamo,Casinò di Sanremo,12,,,
71,NF,"Carla Boni, Gino Latilla e Duo Fasano - Quartetto Cetra",Arriva il direttore,1954,M. Panzeri e G. Fucilli,,Non Finalista,Quartetto Cetra,6,2009,Nunzio Filogamo,Casinò di Sanremo,12,,,
72,NF,Carla Boni e Duo Fasano - Giorgio Consolini,Berta filava,1954,"Pinchi, G. Wilhelm e O. Fiammenghi",,Non Finalista,Rino Gaetano,59,1976,Nunzio Filogamo,Casinò di Sanremo,12,,,
73,NF,Gino Latilla e Duo Fasano - Quartetto Cetra,Canzoni alla sbarra,1954,G. D'Anzi,,Non Finalista,Quartetto Cetra,5,2009,Nunzio Filogamo,Casinò di Sanremo,12,,,
74,NF,Carla Boni e Duo Fasano - Quartetto Cetra,Cirillino-Ci,1954,N. Rastelli e V. Mascheroni,,Non Finalista,Quartetto Cetra,5,1955,Nunzio Filogamo,Casinò di Sanremo,12,,,
75,NF,Achille Togliani - Gianni Ravera,Gioia di vivere,1954,C. A. Bixio,,Non Finalista,Vibrazioni Positive 432Hz,4,2023,Nunzio Filogamo,Casinò di Sanremo,12,,,
76,NF,Duo Fasano e Gino Latilla - Quartetto Cetra,Piripicchio e Piripicchia,1954,A. Sopranzi e T. Fusco,,Non Finalista,Quartetto Cetra,4,2009,Nunzio Filogamo,Casinò di Sanremo,12,,,
77,NF,Katyna Ranieri - Vittoria Mongardi,Rose (Oggi i tempi son cambiati),1954,Biri e G. Viezzoli,,Non Finalista,Vittoria Mongardi,0,2012,Nunzio Filogamo,Casinò di Sanremo,12,,,
78,NF,Carla Boni - Quartetto Cetra,Un diario,1954,A. Locatelli e F. Bergamini,,Non Finalista,Quartetto Cetra,1,2020,Nunzio Filogamo,Casinò di Sanremo,12,,,
79,NF,Gino Latilla - Natalino Otto,Una bambina sei tu,1954,G. Fabor,,Non Finalista,Claudio Villa,0,2021,Nunzio Filogamo,Casinò di Sanremo,12,,,
80,1º,Claudio Villa - Tullio Pane,Buongiorno tristezza,1955,G. Fiorelli e M. Ruccione,1,Vincitore,,,,Armando Pizzo,Casinò di Sanremo,15,,,
81,2º,Claudio Villa - Tullio Pane,Il torrente,1955,C. A. Liman e L. Carmi,2,Finalista,Torrente,0,2024,Armando Pizzo,Casinò di Sanremo,15,,,
82,3º,"Natalino Otto e Trio Aurora - Bruno Pallesi, Nuccia Bongiovanni e Radio Boys",Canto nella valle,1955,M. Panzeri e U. Fusco,3,Finalista,Le Nostre Valli,20,2023,Armando Pizzo,Casinò di Sanremo,15,,,
83,4º,Claudio Villa - Narciso Parigi,Incantatella,1955,E. Bonagura,4,Finalista,Narciso Parigi,3,2022,Armando Pizzo,Casinò di Sanremo,15,,,
84,5º,Antonio Basurto - Gianni Ravera,Un cuore,1955,P. Mendes e E. Falcocchio,5,Finalista,Francesca Michielin,44,2016,Armando Pizzo,Casinò di Sanremo,15,,,
85,6º,Jula de Palma - Marisa Colomber,L'ombra,1955,W. Colì,6,Finalista,Spia,13,2019,Armando Pizzo,Casinò di Sanremo,15,,,
86,7º,Narciso Parigi e Radio Boys - Natalino Otto e Trio Aurora,Ci ciu cì (Cantava un usignol),1955,E. Minoretti e S. Seracini,7,Finalista,Natalino Otto,0,2022,Armando Pizzo,Casinò di Sanremo,15,,,
87,8º,Natalino Otto - Antonio Basurto,Una fotografia nella cornice,1955,"L. Mannucci, A. V. Savona e E. Fecchi",8,Finalista,Natalino Otto,4,1953,Armando Pizzo,Casinò di Sanremo,15,,,
88,NF,Jula de Palma - Antonio Basurto,Cantilena del trainante,1955,Faccenna e De Angelis,,Non Finalista,Antonio Basurto,0,2014,Armando Pizzo,Casinò di Sanremo,15,,,
89,NF,Bruno Pallesi - Jula de Palma,Che fai tu luna in ciel,1955,N. Rastelli e Brinniti,,Non Finalista,Irena Kowalska,0,2023,Armando Pizzo,Casinò di Sanremo,15,,,
90,NF,"Clara Jaione e Radio Boys - Nella Colombo, Bruno Rosettani e Trio Aurora",Era un omino,1955,A. Paolillo,,Non Finalista,I Campagnoli Belli,2,2009,Armando Pizzo,Casinò di Sanremo,15,,,
91,NF,Natalino Otto - Nuccia Bongiovanni e Radio Boys,I tre timidi,1955,E. Valladi,,Non Finalista,Nuccia,0,2009,Armando Pizzo,Casinò di Sanremo,15,,,
92,NF,"Bruno Pallesi e Nuccia Bongiovanni - Bruno Rosettani, Nella Colombo e Trio Aurora",Il primo viaggio,1955,Sargon,,Non Finalista,Paolo Bacilieri,19,2014,Armando Pizzo,Casinò di Sanremo,15,,,
93,NF,Gianni Ravera - Tullio Pane,Non penserò che a te,1955,"Taddei, Poggiali e Minasi",,Non Finalista,Gianni Ravera,0,2014,Armando Pizzo,Casinò di Sanremo,15,,,
94,NF,Bruno Pallesi - Jula de Palma,Sentiero,1955,B. Cherubini e C. Concina,,Non Finalista,Valo B,8,2024,Armando Pizzo,Casinò di Sanremo,15,,,
95,NF,Bruno Rosettani e Trio Aurora - Clara Jaione e Radio Boys,Zucchero e pepe,1955,"Biri, L. Capece Minutolo e V. Mascheroni",,Non Finalista,Bruno Rosettani,21,2014,Armando Pizzo,Casinò di Sanremo,15,,,
96,1º,Franca Raimondi,Aprite le finestre,1956,Pinchi e V. Panzuti,1,Vincitore,,,,Fausto Tommei,Casinò di Sanremo,6,,,
97,2º,Tonina Torrielli,Amami se vuoi,1956,M. Panzeri e V. Mascheroni,2,Finalista,Tonina Torielli,27,2014,Fausto Tommei,Casinò di Sanremo,6,,,
98,3º,Luciana Gonzales,La vita è un paradiso di bugie,1956,D. Calcagno e N. Oliviero,3,Finalista,Quartetto Cetra,13,2009,Fausto Tommei,Casinò di Sanremo,6,,,
99,4º,Tonina Torrielli,Il cantico del cielo,1956,A. Testa e C. A. Rossi,4,Finalista,Fiorella Bini,2,2015,Fausto Tommei,Casinò di Sanremo,6,,,
100,5º,Ugo Molinari,La colpa fu,1956,"Gippi, L. Beretta e E. Sciorilli",5,Finalista,El Canfin,27,2007,Fausto Tommei,Casinò di Sanremo,6,,,
101,6º,Tonina Torrielli,Il bosco innamorato,1956,G. C. Testoni e G. Kramer,6,Finalista,Quartetto Cetra,1,1955,Fausto Tommei,Casinò di Sanremo,6,,,
102,7º,Ugo Molinari,Albero caduto,1956,G. Fiorelli e M. Ruccione,7,Finalista,Quartetto Cetra,0,2020,Fausto Tommei,Casinò di Sanremo,6,,,
103,8º,Gianni Marzocchi,Musetto (La più bella sei tu),1956,D. Modugno,8,Finalista,Gianni Marzocchi,1,2012,Fausto Tommei,Casinò di Sanremo,6,,,
104,9º,Ugo Molinari,Nota per nota,1956,G. Viezzoli,9,Finalista,Zucchero,40,2004,Fausto Tommei,Casinò di Sanremo,6,,,
105,10º,Ugo Molinari,Due teste sul cuscino,1956,G. C. Testoni e F. Rendine,10,Finalista,Claudio Villa,0,2019,Fausto Tommei,Casinò di Sanremo,6,,,
106,NF,Gianni Marzocchi e Clara Vincenzi,Anima gemella,1956,G. C. Testoni e C. A. Rossi,,Non Finalista,Gemelli Diversi,38,2000,Fausto Tommei,Casinò di Sanremo,6,,,
107,NF,Luciana Gonzales,È bello,1956,Danpa e D. Vignali,,Non Finalista,Dorsa,0,2023,Fausto Tommei,Casinò di Sanremo,6,,,
108,NF,Gianni Marzocchi,Ho detto al sole,1956,R. Morbelli e Falco,,Non Finalista,Gigi Proietti,12,2002,Fausto Tommei,Casinò di Sanremo,6,,,
109,NF,Franca Raimondi,Il trenino del destino,1956,"B. Cherubini, M. Schisa e M. Trama",,Non Finalista,Franca Raimondi,0,2014,Fausto Tommei,Casinò di Sanremo,6,,,
110,NF,Clara Vincenzi,Il trenino di latta verde,1956,"M. Gigante, L. L. Martelli e Neri",,Non Finalista,Natalino Otto,0,2021,Fausto Tommei,Casinò di Sanremo,6,,,
111,NF,Gianni Marzocchi e Franca Raimondi,Lucia e Tobia,1956,M. Panzeri e G. D'Anzi,,Non Finalista,Quartetto Cetra,0,2020,Fausto Tommei,Casinò di Sanremo,6,,,
112,NF,Clara Vincenzi,Lui e lei,1956,"S. Simoni, Faccenna e M. Casini",,Non Finalista,Razzi Totali,0,2006,Fausto Tommei,Casinò di Sanremo,6,,,
113,NF,Luciana Gonzales,Parole e musica,1956,N. Rastelli e Silvestri,,Non Finalista,Ligabue,43,2023,Fausto Tommei,Casinò di Sanremo,6,,,
114,NF,Tonina Torrielli,Qualcosa è rimasto,1956,Pinchi e Spaggiari,,Non Finalista,Mondo Marcio,23,2004,Fausto Tommei,Casinò di Sanremo,6,,,
115,NF,Franca Raimondi e Clara Vincenzi,Sogni d'or,1956,A. Costanzo e P. Maschio,,Non Finalista,Franca Raimondi,0,2014,Fausto Tommei,Casinò di Sanremo,6,,,
116,1º,Claudio Villa - Nunzio Gallo,Corde della mia chitarra,1957,G. Fiorelli e M. Ruccione,1,Vincitore,,,,Nunzio Filogamo,Casinò di Sanremo,17,,,
117,2º,Claudio Villa - Giorgio Consolini,Usignolo,1957,"G. Castellani, L. L. Martelli e C. Concina",2,Finalista,Claudio Villa,12,2008,Nunzio Filogamo,Casinò di Sanremo,17,,,
118,3º,Gino Latilla - Tonina Torrielli,Scusami,1957,"Biri, W. Malgoni e M. Perrone",3,Finalista,Max Pasquarelli,27,2023,Nunzio Filogamo,Casinò di Sanremo,17,,,
119,4º,"Carla Boni, Gino Latilla e Duo Fasano - Gloria Christian e Poker di Voci",Casetta in Canadà,1957,M. Panzeri e V. Mascheroni,4,Finalista,Big Boys,26,2001,Nunzio Filogamo,Casinò di Sanremo,17,,,
120,5º,Claudio Villa - Giorgio Consolini,Cancello tra le rose,1957,U. Bertini e M. De Paolis,5,Finalista,Giorgio Consolini,6,1997,Nunzio Filogamo,Casinò di Sanremo,17,,,
121,6º,Claudio Villa e Gino Latilla - Natalino Otto e Poker di Voci,Il pericolo numero uno,1957,E. Bonagura e M. Cozzoli,6,Finalista,Renato Carosone,20,2007,Nunzio Filogamo,Casinò di Sanremo,17,,,
122,7º,Tina Allori - Tonina Torrielli,Intorno a te (È sempre primavera),1957,"D. Bernazza, M. De Angelis, A. Piga e Falco",7,Finalista,Tonina Torrielli,0,2010,Nunzio Filogamo,Casinò di Sanremo,17,,,
123,8º,Carla Boni - Nunzio Gallo,Per una volta ancora,1957,U. Bertini e G. D'Anzi,8,Finalista,Cecco e Cipo,33,2022,Nunzio Filogamo,Casinò di Sanremo,17,,,
124,9º,Gino Baldi e Duo Fasano - Natalino Otto e Poker di Voci,Un filo di speranza,1957,G. C. Testoni e S. Seracini,9,Finalista,Gino Latilla,2,2000,Nunzio Filogamo,Casinò di Sanremo,17,,,
125,10º,"Carla Boni e Duo Fasano - Gloria Christian, Natalino Otto e Poker di Voci",Le trote blu,1957,D. Calcagno e L. Gelmini,10,Finalista,Giorgio Consolini,2,2019,Nunzio Filogamo,Casinò di Sanremo,17,,,
126,NF,Gino Latilla - Luciano Virgili,A poco a poco,1957,M. Rivi e C. Innocenzi,,Non Finalista,Anna Oxa,53,1978,Nunzio Filogamo,Casinò di Sanremo,17,,,
127,NF,Tina Allori - Flo Sandon's,Ancora ci credo,1957,Fecchi e Campanozzi,,Non Finalista,xDiemondx,19,2022,Nunzio Filogamo,Casinò di Sanremo,17,,,
128,NF,Fiorella Bini - Flo Sandon's,Estasi,1957,Da Vinci e Lucci,,Non Finalista,Gaia,50,2023,Nunzio Filogamo,Casinò di Sanremo,17,,,
129,NF,Gino Baldi - Luciano Virgili,Finalmente,1957,G. Bonavolontà e M. Rivi,,Non Finalista,883,54,1998,Nunzio Filogamo,Casinò di Sanremo,17,,,
130,NF,Gino Baldi - Jula de Palma,Nel giardino del mio cuore,1957,G. C. Testoni e G. Kramer,,Non Finalista,Teddy Reno,1,2023,Nunzio Filogamo,Casinò di Sanremo,17,,,
131,NF,Gino Latilla - Nunzio Gallo,Non ti ricordi più?,1957,Da Vinci e Poggiali,,Non Finalista,Nunzio Gallo,1,2019,Nunzio Filogamo,Casinò di Sanremo,17,,,
132,NF,Fiorella Bini e Duo Fasano - Jula de Palma e Poker di Voci,Raggio nella nebbia,1957,Franco Salina e M. Pagano,,Non Finalista,Fiorella Bini,1,2015,Nunzio Filogamo,Casinò di Sanremo,17,,,
133,NF,Gianni Ravera - Natalino Otto,Un certo sorriso,1957,M. Ruccione e G. Fiorelli,,Non Finalista,Natalino Otto,0,2015,Nunzio Filogamo,Casinò di Sanremo,17,,,
134,NF,Carla Boni - Jula de Palma,Un sogno di cristallo,1957,A. Testa e P. Calvi,,Non Finalista,Orsogufo,2,2022,Nunzio Filogamo,Casinò di Sanremo,17,,,
136,1º,Domenico Modugno - Johnny Dorelli,Nel blu dipinto di blu,1958,D. Modugno e F. Migliacci,1,Vincitore,Domenico Modugno,52,2008,Gianni Agus,Casinò di Sanremo,15,,,
137,2º,Nilla Pizzi - Tonina Torrielli,L'edera,1958,V. D'Acquisto e S. Seracini,2,Finalista,Erica Mou,4,2016,Gianni Agus,Casinò di Sanremo,15,,,
138,3º,Gino Latilla - Nilla Pizzi,Amare un'altra,1958,R. Pazzaglia e G. Fabor,3,Finalista,Tony Colombo,19,2022,Gianni Agus,Casinò di Sanremo,15,,,
139,4º,Claudio Villa - Giorgio Consolini,Campana di Santa Lucia,1958,B. Cherubini e C. Concina,4,Finalista,Giacomo Rondinella,2,2011,Gianni Agus,Casinò di Sanremo,15,,,
140,5º,Claudio Villa - Nilla Pizzi,Giuro d'amarti così,1958,M. Panzeri e V. Mascheroni,5,Finalista,Nilla Pizzi,2,1954,Gianni Agus,Casinò di Sanremo,15,,,
141,6º,Carla Boni e Gino Latilla - Aurelio Fierro e Gloria Christian,Timida serenata,1958,N. Salerno e G. Redi,6,Finalista,Gloria Christian,10,2011,Gianni Agus,Casinò di Sanremo,15,,,
142,7º,Claudio Villa e Duo Fasano - Aurelio Fierro e Trio Joyce,Fragole e cappellini,1958,M. Panzeri e S. Seracini,7,Finalista,Aurelio Fierro,5,2015,Gianni Agus,Casinò di Sanremo,15,,,
143,8º,Natalino Otto - Carla Boni e Gino Latilla,Non potrai dimenticare,1958,B. Pallesi e W. Malgoni,8,Finalista,Fred Buscaglione,5,2022,Gianni Agus,Casinò di Sanremo,15,,,
144,9º,Tonina Torrielli - Cristina Jorio,Mille volte,1958,Zibio e G. Fabor,9,Finalista,Max Gazzè,34,2015,Gianni Agus,Casinò di Sanremo,15,,,
